"FrameId","VesicleId","MovieName","IntCh0","IntCh1","xCoord","yCoord","radius","bg0","bg1","Net0","Net1","Norm0","Norm1","rad_mean","rad_sd","rad_cv"
13,1012,"2ch_IP6_001_pos004.tif",181.34,4135.67,293,923,100.65,148,164.7,33.34,3970.97,1.39497907949791,1.07319452777462,100.488235294118,1.6241853161436,0.0161629399838677
14,1012,"2ch_IP6_001_pos004.tif",186.28,4708.85,300,929,100.65,153,156,33.28,4552.85,1.39246861924686,1.23045344230218,100.488235294118,1.6241853161436,0.0161629399838677
15,1012,"2ch_IP6_001_pos004.tif",188.4,3695.77,296,924,101.2,153,151,35.4,3544.77,1.48117154811715,0.958009696930386,100.488235294118,1.6241853161436,0.0161629399838677
16,1012,"2ch_IP6_001_pos004.tif",190.87,4458.39,294,920,101.75,157,161,33.87,4297.39,1.41715481171548,1.16141281140714,100.488235294118,1.6241853161436,0.0161629399838677
0,1014,"2ch_IP6_001_pos004.tif",172.26,4472.58,892,746,79.2,136,157,36.26,4315.58,1,1,79.1352941176471,1.19684020261196,0.0151239749084987
1,1014,"2ch_IP6_001_pos004.tif",170.23,3976.81,885,751,79.75,135,151,35.23,3825.81,0.971594043022614,0.886511198958193,79.1352941176471,1.19684020261196,0.0151239749084987
2,1014,"2ch_IP6_001_pos004.tif",161.52,2805.02,888,747,80.3,134,146,27.52,2659.02,0.758963044677331,0.616144295784112,79.1352941176471,1.19684020261196,0.0151239749084987
3,1014,"2ch_IP6_001_pos004.tif",175.81,4091.75,889,742,80.3,137,139,38.81,3952.75,1.07032542746828,0.91592555345979,79.1352941176471,1.19684020261196,0.0151239749084987
4,1014,"2ch_IP6_001_pos004.tif",180.53,4542.07,890,739,79.75,140,141,40.53,4401.07,1.11776061776062,1.0198096200279,79.1352941176471,1.19684020261196,0.0151239749084987
5,1014,"2ch_IP6_001_pos004.tif",183.41,4569.48,887,746,79.2,142,141,41.41,4428.48,1.14202978488693,1.02616102586443,79.1352941176471,1.19684020261196,0.0151239749084987
6,1014,"2ch_IP6_001_pos004.tif",183.95,4660.68,889,743,79.75,143,143,40.95,4517.68,1.12934362934363,1.0468303217644,79.1352941176471,1.19684020261196,0.0151239749084987
7,1014,"2ch_IP6_001_pos004.tif",186.41,4879.05,877,751,78.65,144,162,42.41,4717.05,1.1696083838941,1.09302805184935,79.1352941176471,1.19684020261196,0.0151239749084987
8,1014,"2ch_IP6_001_pos004.tif",188.32,4205.15,876,750,80.3,143,161,45.32,4044.15,1.24986210700496,0.937104630200344,79.1352941176471,1.19684020261196,0.0151239749084987
9,1014,"2ch_IP6_001_pos004.tif",189.27,4131.36,876,750,80.3,143,153,46.27,3978.36,1.27606177606178,0.921859865881295,79.1352941176471,1.19684020261196,0.0151239749084987
10,1014,"2ch_IP6_001_pos004.tif",192.97,4223.96,877,750,80.85,144,163,48.97,4060.96,1.35052399338114,0.94099981925952,79.1352941176471,1.19684020261196,0.0151239749084987
11,1014,"2ch_IP6_001_pos004.tif",192.76,4340.93,877,753,78.1,145,161,47.76,4179.93,1.31715388858246,0.968567376806826,79.1352941176471,1.19684020261196,0.0151239749084987
12,1014,"2ch_IP6_001_pos004.tif",176.97,3031.92,877,751,78.65,143,177,33.97,2854.92,0.93684500827358,0.661537962452324,79.1352941176471,1.19684020261196,0.0151239749084987
13,1014,"2ch_IP6_001_pos004.tif",196.17,4361.02,875,750,78.65,148,164.7,48.17,4196.32,1.3284611141754,0.972365244069163,79.1352941176471,1.19684020261196,0.0151239749084987
14,1014,"2ch_IP6_001_pos004.tif",205.78,5235.37,875,751,77.55,153,156,52.78,5079.37,1.45559845559846,1.17698432192197,79.1352941176471,1.19684020261196,0.0151239749084987
15,1014,"2ch_IP6_001_pos004.tif",206.89,5318.25,876,747,77,153,151,53.89,5167.25,1.48621070049641,1.19734774931759,79.1352941176471,1.19684020261196,0.0151239749084987
16,1014,"2ch_IP6_001_pos004.tif",211.35,5381.55,877,749,77,157,161,54.35,5220.55,1.49889685603971,1.20969834877351,79.1352941176471,1.19684020261196,0.0151239749084987
0,1028,"2ch_IP6_001_pos005.tif",169.74,3996.82,911,342,94.05,134,148,35.74,3848.82,1,1,93.9852941176471,0.545940903933966,0.00580879071624311
1,1028,"2ch_IP6_001_pos005.tif",172.28,3571.81,911,341,95.15,135,177,37.28,3394.81,1.04308897593732,0.882039170447046,93.9852941176471,0.545940903933966,0.00580879071624311
2,1028,"2ch_IP6_001_pos005.tif",174.09,3903.57,911,342,94.6,135,150,39.09,3753.57,1.09373251259093,0.975252155206011,93.9852941176471,0.545940903933966,0.00580879071624311
3,1028,"2ch_IP6_001_pos005.tif",174.78,3795.16,908,341,95.15,136,141,38.78,3654.16,1.08505875769446,0.949423459657765,93.9852941176471,0.545940903933966,0.00580879071624311
4,1028,"2ch_IP6_001_pos005.tif",176.68,4129.39,910,342,93.5,138,156,38.68,3973.39,1.08226077224398,1.03236576405236,93.9852941176471,0.545940903933966,0.00580879071624311
5,1028,"2ch_IP6_001_pos005.tif",179.54,4237.84,907,342,93.5,139,145,40.54,4092.84,1.13430330162283,1.06340125025332,93.9852941176471,0.545940903933966,0.00580879071624311
6,1028,"2ch_IP6_001_pos005.tif",180.73,4281.25,902,341,93.5,140,139,40.73,4142.25,1.13961947397873,1.07623895115906,93.9852941176471,0.545940903933966,0.00580879071624311
7,1028,"2ch_IP6_001_pos005.tif",182.78,4374.71,902,341,93.5,141.7,148,41.08,4226.71,1.1494124230554,1.09818333930919,93.9852941176471,0.545940903933966,0.00580879071624311
8,1028,"2ch_IP6_001_pos005.tif",184.15,4360.01,905,343,93.5,143,156,41.15,4204.01,1.15137101287073,1.09228542774149,93.9852941176471,0.545940903933966,0.00580879071624311
9,1028,"2ch_IP6_001_pos005.tif",186.71,4072.4,902,341,94.05,144,157,42.71,3915.4,1.19501958589815,1.01729880846597,93.9852941176471,0.545940903933966,0.00580879071624311
10,1028,"2ch_IP6_001_pos005.tif",189.33,3924.17,899,341,94.05,144,147,45.33,3777.17,1.26832680470062,0.981383904677278,93.9852941176471,0.545940903933966,0.00580879071624311
11,1028,"2ch_IP6_001_pos005.tif",186.01,3454.1,902,339,93.5,141,142,45.01,3312.1,1.25937325125909,0.8605494671094,93.9852941176471,0.545940903933966,0.00580879071624311
12,1028,"2ch_IP6_001_pos005.tif",182.7,3208.34,901,338,93.5,141,142,41.7,3066.34,1.16675993284835,0.796696130242516,93.9852941176471,0.545940903933966,0.00580879071624311
13,1028,"2ch_IP6_001_pos005.tif",197.78,3920.03,904,339,94.05,147,162,50.78,3758.03,1.42081701175154,0.976410951928123,93.9852941176471,0.545940903933966,0.00580879071624311
14,1028,"2ch_IP6_001_pos005.tif",201.3,4044.32,905,337,94.05,151,151,50.3,3893.32,1.40738668158926,1.01156198523184,93.9852941176471,0.545940903933966,0.00580879071624311
15,1028,"2ch_IP6_001_pos005.tif",204.16,4034.02,904,340,94.05,153,147,51.16,3887.02,1.43144935646335,1.00992511990688,93.9852941176471,0.545940903933966,0.00580879071624311
16,1028,"2ch_IP6_001_pos005.tif",207.31,4123.51,904,338,94.05,154,149,53.31,3974.51,1.49160604364857,1.03265676233235,93.9852941176471,0.545940903933966,0.00580879071624311
0,1030,"2ch_IP6_001_pos005.tif",162.07,3984.6,231,390,84.7,134,148,28.07,3836.6,1,1,84.8294117647059,0.837044432723223,0.00986738461708258
1,1030,"2ch_IP6_001_pos005.tif",162.67,3449.87,230,392,85.8,135,177,27.67,3272.87,0.985749910936943,0.853065213991555,84.8294117647059,0.837044432723223,0.00986738461708258
2,1030,"2ch_IP6_001_pos005.tif",162.1,3414.66,229,391,85.8,135,150,27.1,3264.66,0.965443534022088,0.850925298441328,84.8294117647059,0.837044432723223,0.00986738461708258
3,1030,"2ch_IP6_001_pos005.tif",165.01,3550.5,228,391,86.9,136,141,29.01,3409.5,1.03348770929818,0.888677474847521,84.8294117647059,0.837044432723223,0.00986738461708258
4,1030,"2ch_IP6_001_pos005.tif",166.85,4147.18,227,391,84.15,138,156,28.85,3991.18,1.02778767367296,1.04029088255226,84.8294117647059,0.837044432723223,0.00986738461708258
5,1030,"2ch_IP6_001_pos005.tif",168.75,4382.32,226,391,83.6,139,145,29.75,4237.32,1.05985037406484,1.10444664546734,84.8294117647059,0.837044432723223,0.00986738461708258
6,1030,"2ch_IP6_001_pos005.tif",170.87,4453.95,227,391,83.6,140,139,30.87,4314.95,1.0997506234414,1.12468070687588,84.8294117647059,0.837044432723223,0.00986738461708258
7,1030,"2ch_IP6_001_pos005.tif",172.79,4119.23,226,390,84.15,141.7,148,31.0899999999999,3971.23,1.10758817242608,1.03509096595944,84.8294117647059,0.837044432723223,0.00986738461708258
8,1030,"2ch_IP6_001_pos005.tif",173.57,4301.06,226,391,84.15,143,156,30.57,4145.06,1.0890630566441,1.08039931189074,84.8294117647059,0.837044432723223,0.00986738461708258
9,1030,"2ch_IP6_001_pos005.tif",176.46,4170.2,226,391,84.7,144,157,32.46,4013.2,1.15639472746705,1.04603033936298,84.8294117647059,0.837044432723223,0.00986738461708258
10,1030,"2ch_IP6_001_pos005.tif",178.57,4148.24,226,391,84.7,144,147,34.57,4001.24,1.23156394727467,1.04291299588177,84.8294117647059,0.837044432723223,0.00986738461708258
11,1030,"2ch_IP6_001_pos005.tif",168.62,2587.63,226,391,85.25,141,142,27.62,2445.63,0.983968649804062,0.637447218891727,84.8294117647059,0.837044432723223,0.00986738461708258
12,1030,"2ch_IP6_001_pos005.tif",159.05,2384.01,226,388,84.7,141,142,18.05,2242.01,0.643035268970432,0.584374185476724,84.8294117647059,0.837044432723223,0.00986738461708258
13,1030,"2ch_IP6_001_pos005.tif",182.49,4168.42,227,388,84.7,147,162,35.49,4006.42,1.2643391521197,1.04426314966376,84.8294117647059,0.837044432723223,0.00986738461708258
14,1030,"2ch_IP6_001_pos005.tif",188.1,4355.77,227,390,84.7,151,151,37.1,4204.77,1.3216957605985,1.09596257102643,84.8294117647059,0.837044432723223,0.00986738461708258
15,1030,"2ch_IP6_001_pos005.tif",190.15,4646.87,227,389,85.25,153,147,37.15,4499.87,1.32347702173139,1.17287963300839,84.8294117647059,0.837044432723223,0.00986738461708258
16,1030,"2ch_IP6_001_pos005.tif",192.4,4151.02,226,388,85.25,154,149,38.4,4002.02,1.36800855005344,1.04311630089141,84.8294117647059,0.837044432723223,0.00986738461708258
0,1033,"2ch_IP6_001_pos005.tif",170.65,4577.87,1046,534,76.45,134,148,36.65,4429.87,1,1,76.9352941176471,0.750159296808504,0.00975052224615381
1,1033,"2ch_IP6_001_pos005.tif",171.88,4320.93,1043,535,77,135,177,36.88,4143.93,1.006275579809,0.935451830414888,76.9352941176471,0.750159296808504,0.00975052224615381
2,1033,"2ch_IP6_001_pos005.tif",174.64,4414.03,1043,533,77,135,150,39.64,4264.03,1.08158253751705,0.96256323548998,76.9352941176471,0.750159296808504,0.00975052224615381
