"FrameId","VesicleId","MovieName","IntCh0","IntCh1","xCoord","yCoord","radius","bg0","bg1","Net0","Net1","Norm0","Norm1","rad_mean","rad_sd","rad_cv"
9,1518,"2ch_WT_001_pos003.tif",339.42,4369.6,357,708,113.3,109,136,230.42,4233.6,2.9878112033195,2.51625557206538,113.397058823529,1.65269387934473,0.0145743981060098
10,1518,"2ch_WT_001_pos003.tif",339.94,4287.88,357,708,113.3,110,147,229.94,4140.88,2.98158713692946,2.461147102526,113.397058823529,1.65269387934473,0.0145743981060098
11,1518,"2ch_WT_001_pos003.tif",352.39,4711.43,357,708,113.85,113,155,239.39,4556.43,3.1041234439834,2.70813075780089,113.397058823529,1.65269387934473,0.0145743981060098
12,1518,"2ch_WT_001_pos003.tif",286.74,3059.09,357,714,113.85,111,157,175.74,2902.09,2.27878630705394,1.72486775631501,113.397058823529,1.65269387934473,0.0145743981060098
13,1518,"2ch_WT_001_pos003.tif",356.8,4499.02,358,707,113.3,112,157,244.8,4342.02,3.17427385892116,2.58069539375929,113.397058823529,1.65269387934473,0.0145743981060098
14,1518,"2ch_WT_001_pos003.tif",369.93,4514.08,358,706,113.85,111,157,258.93,4357.08,3.35749481327801,2.58964635958395,113.397058823529,1.65269387934473,0.0145743981060098
15,1518,"2ch_WT_001_pos003.tif",348.75,4206.93,358,706,114.95,112,157,236.75,4049.93,3.06989107883817,2.40709063893016,113.397058823529,1.65269387934473,0.0145743981060098
16,1518,"2ch_WT_001_pos003.tif",359.26,4289.54,359,706,114.95,112,154,247.26,4135.54,3.20617219917012,2.45797325408618,113.397058823529,1.65269387934473,0.0145743981060098
0,1519,"2ch_WT_001_pos003.tif",148.24,4463.23,1078,632,113.85,108,156,40.24,4307.23,1,1,115.014705882353,0.670299537959139,0.00582794637274281
1,1519,"2ch_WT_001_pos003.tif",162.42,5284.3,1110,614,113.3,107,148,55.42,5136.3,1.3772365805169,1.19248333615804,115.014705882353,0.670299537959139,0.00582794637274281
2,1519,"2ch_WT_001_pos003.tif",197.8,5802.4,1102,617,114.95,108,164,89.8,5638.4,2.23161033797217,1.30905477534285,115.014705882353,0.670299537959139,0.00582794637274281
3,1519,"2ch_WT_001_pos003.tif",157.57,4506.54,1102,616,115.5,108,156,49.57,4350.54,1.23185884691849,1.01005518627981,115.014705882353,0.670299537959139,0.00582794637274281
4,1519,"2ch_WT_001_pos003.tif",159.07,4764.86,1102,615,114.95,108,143,51.07,4621.86,1.2691351888668,1.07304694664552,115.014705882353,0.670299537959139,0.00582794637274281
5,1519,"2ch_WT_001_pos003.tif",159.22,4782.9,1102,614,114.95,108,140,51.22,4642.9,1.27286282306163,1.07793175660459,115.014705882353,0.670299537959139,0.00582794637274281
6,1519,"2ch_WT_001_pos003.tif",163.03,4865.47,1102,612,114.95,108,137,55.03,4728.47,1.36754473161034,1.09779835300181,115.014705882353,0.670299537959139,0.00582794637274281
7,1519,"2ch_WT_001_pos003.tif",163.42,4674.68,1103,613,114.95,108,136,55.42,4538.68,1.3772365805169,1.05373523122749,115.014705882353,0.670299537959139,0.00582794637274281
8,1519,"2ch_WT_001_pos003.tif",168.1,4762.04,1103,611,114.95,109,138,59.1,4624.04,1.46868787276342,1.07355307239223,115.014705882353,0.670299537959139,0.00582794637274281
9,1519,"2ch_WT_001_pos003.tif",169.34,4730.3,1103,610,114.95,109,136,60.34,4594.3,1.49950298210736,1.0666484028018,115.014705882353,0.670299537959139,0.00582794637274281
10,1519,"2ch_WT_001_pos003.tif",174.22,4857.45,1103,608,114.95,110,147,64.22,4710.45,1.59592445328032,1.09361468971938,115.014705882353,0.670299537959139,0.00582794637274281
11,1519,"2ch_WT_001_pos003.tif",181.68,4949.59,1104,608,115.5,113,155,68.68,4794.59,1.70675944333996,1.11314928620018,115.014705882353,0.670299537959139,0.00582794637274281
12,1519,"2ch_WT_001_pos003.tif",198.83,4932.34,1103,608,114.95,111,157,87.83,4775.34,2.18265407554672,1.10868005655607,115.014705882353,0.670299537959139,0.00582794637274281
13,1519,"2ch_WT_001_pos003.tif",225.27,5539.4,1105,606,115.5,112,157,113.27,5382.4,2.81486083499006,1.24961982527053,115.014705882353,0.670299537959139,0.00582794637274281
14,1519,"2ch_WT_001_pos003.tif",233.38,5715.31,1104,606,114.95,111,157,122.38,5558.31,3.04125248508946,1.29046045834562,115.014705882353,0.670299537959139,0.00582794637274281
15,1519,"2ch_WT_001_pos003.tif",189.72,4279.83,1104,605,116.05,112,157,77.72,4122.83,1.93141153081511,0.957188262526032,115.014705882353,0.670299537959139,0.00582794637274281
16,1519,"2ch_WT_001_pos003.tif",201.73,4758.41,1104,604,116.05,112,154,89.73,4604.41,2.22987077534791,1.06899561899411,115.014705882353,0.670299537959139,0.00582794637274281
0,1520,"2ch_WT_001_pos003.tif",215.72,4097.4,1305,500,92.4,108,156,107.72,3941.4,1,1,93.0794117647059,0.533578375079932,0.00573250695254453
1,1520,"2ch_WT_001_pos003.tif",220.65,4122.02,1305,499,92.95,107,148,113.65,3974.02,1.05505012996658,1.00827624701883,93.0794117647059,0.533578375079932,0.00573250695254453
2,1520,"2ch_WT_001_pos003.tif",217.25,3925.71,1305,497,93.5,108,164,109.25,3761.71,1.01420349053101,0.954409600649516,93.0794117647059,0.533578375079932,0.00573250695254453
3,1520,"2ch_WT_001_pos003.tif",220.44,4409.71,1306,496,91.85,108,156,112.44,4253.71,1.0438173041218,1.07923834170599,93.0794117647059,0.533578375079932,0.00573250695254453
4,1520,"2ch_WT_001_pos003.tif",215.49,4033.05,1305,495,93.5,108,143,107.49,3890.05,0.997864834756777,0.986971634444614,93.0794117647059,0.533578375079932,0.00573250695254453
5,1520,"2ch_WT_001_pos003.tif",214.24,4014.48,1305,494,93.5,108,140,106.24,3874.48,0.986260675826216,0.983021261480692,93.0794117647059,0.533578375079932,0.00573250695254453
6,1520,"2ch_WT_001_pos003.tif",220.57,4088.78,1306,492,93.5,108,137,112.57,3951.78,1.04502413665058,1.00263358197595,93.0794117647059,0.533578375079932,0.00573250695254453
7,1520,"2ch_WT_001_pos003.tif",225.9,4323.14,1305,492,92.95,108,136,117.9,4187.14,1.09450427033049,1.06234840412036,93.0794117647059,0.533578375079932,0.00573250695254453
8,1520,"2ch_WT_001_pos003.tif",217.62,4288.93,1305,491,92.95,109,138,108.62,4150.93,1.00835499443,1.05316131323895,93.0794117647059,0.533578375079932,0.00573250695254453
9,1520,"2ch_WT_001_pos003.tif",227.53,4314.1,1305,489,92.95,109,136,118.53,4178.1,1.10035276643149,1.06005480286193,93.0794117647059,0.533578375079932,0.00573250695254453
10,1520,"2ch_WT_001_pos003.tif",222.18,4327.21,1306,488,92.4,110,147,112.18,4180.21,1.04140363906424,1.06059014563353,93.0794117647059,0.533578375079932,0.00573250695254453
11,1520,"2ch_WT_001_pos003.tif",219.22,4394,1305,488,92.95,113,155,106.22,4239,0.986075009283327,1.07550616532197,93.0794117647059,0.533578375079932,0.00573250695254453
12,1520,"2ch_WT_001_pos003.tif",218.52,4123.48,1306,487,93.5,111,157,107.52,3966.48,0.99814333457111,1.00636322119044,93.0794117647059,0.533578375079932,0.00573250695254453
13,1520,"2ch_WT_001_pos003.tif",223.3,4143.1,1306,486,93.5,112,157,111.3,3986.1,1.03323431117713,1.0113411478155,93.0794117647059,0.533578375079932,0.00573250695254453
14,1520,"2ch_WT_001_pos003.tif",226.93,4362.01,1306,485,92.95,111,157,115.93,4205.01,1.07621611585592,1.06688232607703,93.0794117647059,0.533578375079932,0.00573250695254453
15,1520,"2ch_WT_001_pos003.tif",223.96,4043.82,1306,485,94.05,112,157,111.96,3886.82,1.03936130709246,0.986152128685239,93.0794117647059,0.533578375079932,0.00573250695254453
