Image A,Image B,ROI,Auto Threshold A,Auto Threshold B,Using Stack Histogram,Pearson's Coefficient,Spearman's Rank Coefficient,M1,M2,Threshold A,Threshold B,Thresholded M1,Thresholded M2,Overlap Coefficient,k1,k2,Thresholded Overlap Coefficient,Thresholded k1,Thresholded k2,ICQ,Area tot,Area A,Area B,Area Overlap,Timepoint,ColocSourceFile,SampleID,Group,Image,Area,Ch2_Mean,Ch2_IntDen,Ch2_Min,Ch2_Max,Ch2_StdDev,Ch3_Mean,Ch3_IntDen,Ch3_Min,Ch3_Max,Ch3_StdDev,IntensitySourceFile
C2-B2_010_MIP.tif T1,C3-B2_010_MIP.tif T1,e7d43bf6-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.542,0.34,1,1,7322,3071,0.646,0.416,0.718,0.313,1.648,0.856,0.461,1.59,0.5,612.12,16.067,28.308,9.694,1,B2_010_MIP_colocalisation.csv,B2_010_MIP,B2_,B2_010_MIP.tif,612.12,2837.886,1737127.615,195,31117,2081.571,862.43,527910.866,156,21163,1268.777,B2_010_MIP_intensity.csv
C2-B2_010_MIP.tif T1,C3-B2_010_MIP.tif T1,e7d44254-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.581,0.336,1,1,6906,2989,0.633,0.59,0.705,0.232,2.138,0.874,0.466,1.639,0.5,1142.593,32.603,36.488,18.402,1,B2_010_MIP_colocalisation.csv,B2_010_MIP,B2_,B2_010_MIP.tif,1142.593,3257.837,3722380.713,179,35221,1931.056,657.975,751797.476,121,19542,1061.166,B2_010_MIP_intensity.csv
C2-B2_010_MIP.tif T1,C3-B2_010_MIP.tif T1,e7d4461e-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.6,0.314,1,1,7352,7140,0.462,0.668,0.604,0.383,0.951,0.778,0.842,0.72,0.5,1384.72,59.115,37.802,21.008,1,B2_010_MIP_colocalisation.csv,B2_010_MIP,B2_,B2_010_MIP.tif,1384.72,3694.247,5115498.506,199,58588,2570.724,1170.835,1621278.543,148,62784,2605.974,B2_010_MIP_intensity.csv
C2-B2_010_MIP.tif T1,C3-B2_010_MIP.tif T1,e7d44a1a-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.511,0.35,1,1,6189,3984,0.585,0.354,0.697,0.483,1.005,0.846,0.688,1.041,0.5,840.364,25.233,47.39,13.579,1,B2_010_MIP_colocalisation.csv,B2_010_MIP,B2_,B2_010_MIP.tif,840.364,2532.767,2128446.993,192,39455,1865.04,1202.464,1010507.454,160,39076,1819.186,B2_010_MIP_intensity.csv
C2-B2_010_MIP.tif T1,C3-B2_010_MIP.tif T1,e7d44d6c-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.713,0.534,1,1,11278,6466,0.924,0.328,0.814,0.709,0.935,0.936,0.766,1.143,0.5,698.956,13.473,53.341,12.147,1,B2_010_MIP_colocalisation.csv,B2_010_MIP,B2_,B2_010_MIP.tif,698.956,3458.028,2417008.921,235,51353,2879.78,2243.514,1568117.454,181,40217,3213.441,B2_010_MIP_intensity.csv
C2-B2_010_MIP.tif T1,C3-B2_010_MIP.tif T1,e7d4506e-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.554,0.242,1,1,5289,9509,0.585,0.453,0.653,1.13,0.378,0.868,1.937,0.389,0.5,792.281,17.639,25.643,9.013,1,B2_010_MIP_colocalisation.csv,B2_010_MIP,B2_,B2_010_MIP.tif,792.281,1813.163,1436535.175,159,26976,1450.923,1761.613,1395693.588,150,65535,3609.792,B2_010_MIP_intensity.csv
C2-B2_011_MIP.tif T1,C3-B2_011_MIP.tif T1,115cc7fe-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.67,0.418,1,1,14009,7065,0.818,0.428,0.679,0.379,1.217,0.87,0.621,1.217,0.5,873.19,7.64,18.836,5.798,1,B2_011_MIP_colocalisation.csv,B2_011_MIP,B2_,B2_011_MIP.tif,873.19,3495.985,3052659.558,165,63793,2803.026,993.748,867730.731,136,47409,2296.104,B2_011_MIP_intensity.csv
C2-B2_012_MIP.tif T1,C3-B2_012_MIP.tif T1,d3f8a606-73cf-11f1-8377-b83fd22aed90,Otsu,Otsu,FALSE,0.634,0.473,1,1,9040,6369,0.808,0.399,0.744,0.626,0.885,0.873,0.806,0.946,0.5,389.381,14.623,34.481,11.724,1,B2_012_MIP_colocalisation.csv,B2_012_MIP,B2_,B2_012_MIP.tif,389.381,4033.027,1570382.841,307,45200,2677.562,2191.654,853387.994,201,42740,3429.94,B2_012_MIP_intensity.csv
C2-B2_012_MIP.tif T1,C3-B2_012_MIP.tif T1,d3f8aa3e-73cf-11f1-8377-b83fd22aed90,Otsu,Otsu,FALSE,0.693,0.514,1,1,11878,5998,0.798,0.468,0.733,0.403,1.333,0.905,0.625,1.309,0.5,1319.127,24.575,51.123,18.578,1,B2_012_MIP_colocalisation.csv,B2_012_MIP,B2_,B2_012_MIP.tif,1319.127,3990.985,5264616.344,295,51338,2934.983,1244.581,1641760.393,145,39220,2424.545,B2_012_MIP_intensity.csv
C2-B2_012_MIP.tif T1,C3-B2_012_MIP.tif T1,d3f8ad36-73cf-11f1-8377-b83fd22aed90,Otsu,Otsu,FALSE,0.727,0.351,1,1,10632,3444,0.879,0.489,0.788,0.294,2.113,0.913,0.377,2.21,0.5,903.751,25.632,53.81,21.512,1,B2_012_MIP_colocalisation.csv,B2_012_MIP,B2_,B2_012_MIP.tif,903.751,4023.79,3636504.192,260,53162,2973.095,973.455,879760.539,151,19518,1592.25,B2_012_MIP_intensity.csv
